31.75.02.1006                                                                     6 Kayu Putih
31.75.02.1007                                                                     7 Jati
31.75.03.1001                                                                     1 Kampung Melayu
31.75.03.1002                                                     2 Bidara Cina
31.75.03.1003                                                     3 Bali Mester
31.75.03.1004                                                     4 Rawa Bunga
31.75.03.1005                                                     5 Cipinang Cempedak
31.75.03.1006                                                     6 Cipinang Muara
31.75.03.1007                                                     7 Cipinang Besar
31.75.03.1008                                                     8 Cipinang Besar Utara
31.75.04.1001                                                     1 Kramatjati
31.75.04.1002                                                     2 Tengah
31.75.04.1003                                                     3 Dukuh
31.75.04.1004                                                     4 Batu Ampar
31.75.04.1005                                                     5 Balekambang
31.75.04.1006                                                     6 Cililitan
31.75.04.1007                                                     7 Cawang
31.75.05.1001                                                     1 Gedong
31.75.05.1002                                                     2 Baru
31.75.05.1003                                                     3 Cijantung
31.75.05.1004                                                     4 Kalisari
31.75.05.1005                                                     5 Pekayon
31.75.06.1001                                                     1 Jatinegara
31.75.06.1002                                                     2 Rawa Terate
31.75.06.1003                                                     3 Penggilingan
31.75.06.1004                                                     4 Cakung Timur
31.75.06.1005                                                     5 Pulo Gebang
31.75.06.1006                                                     6 Ujung Menteng
31.75.06.1007                                                     7 Cakung Barat
31.75.07.1001                                                     1 Duren Sawit
31.75.07.1002                                                     2 Pondok Bambu
31.75.07.1003                                                     3 Klender
31.75.07.1004                                                     4 Pondok Kelapa
31.75.07.1005                                                           5 Malaka Sari
31.75.07.1006                                                           6 Malaka Jaya
31.75.07.1007                                                           7 Pondok Kopi
31.75.08.1001                                                           1 Makasar
31.75.08.1002                                                           2 Pinangranti
31.75.08.1003                                                           3 Kebon Pala
31.75.08.1004                                                           4 Halim Perdana
31.75.08.1005                                                           5 Cipinang Melayu
31.75.09.1001                                                           1 Ciracas
31.75.09.1002                                                           2 Cibubur
31.75.09.1003                                                           3 Kelapa Dua Wetan
31.75.09.1004                                                           4 Susukan
31.75.09.1005                                                           5 Rambutan
31.75.10.1001                                                           1 Cipayung
31.75.10.1002                                                           2 Cilangkap
31.75.10.1003                                                           3 Pondok Ranggon
31.75.10.1004                                                           4 Munjul
31.75.10.1005                                                           5 Setu
31.75.10.1006                                                           6 Bambu Apus
31.75.10.1007                                                           7 Lubang Buaya
31.75.10.1008                                                           8 Ceger
