65.03.04.2021                                                                      21 Pa'loo
65.03.04.2022                                                                      22 Sangkub
65.03.04.2023                                                                      23 Tubus
65.03.04.2024                                                                      24 Likos
65.03.04.2025                                                                      25 Bulan-Bulan
65.03.04.2026                                                                      26 Kalampising
65.03.04.2027                                                                      27 Pa'lemumut
65.03.04.2028                                                                      28 Mansalong
65.03.05.2002                                                                       1 Pa' Padi
65.03.05.2003                                                                       2 Cinglat
65.03.05.2022                                                                       3 Liang Butan
65.03.05.2029                                                                4 Pa' Rupai
65.03.05.2030                                                                5 Ba Sikor
65.03.05.2031                                                                6 Pa' Nado
65.03.05.2032                                                                7 Buduk Kinangan
65.03.05.2033                                                                8 Liang Tuer
65.03.05.2034                                                                9 Buduk Tumu
65.03.05.2035                                                               10 Long Berayang
65.03.05.2036                                                               11 Pa' Api
65.03.05.2037                                                               12 Pa' Sire
65.03.05.2038                                                               13 Wa' Yanud
65.03.05.2039                                                               14 Long Nawang                           Perbaikan nama sesuai Srt Ditjen Pemdes No.145/1820/SET tgl
65.03.05.2040                                                               15 Long Katung
65.03.05.2041                                                               16 Long Bawan
65.03.05.2044                                                               17 Long Matung
65.03.05.2045                                                               18 Long Rupan
65.03.05.2046                                                               19 Liang Biadung
65.03.05.2047                                                               20 Wa' Laya
65.03.05.2048                                                               21 Pa' Matung
65.03.05.2049                                                               22 Pa' Terutun
65.03.05.2065                                                                         23 Pa' Putuk
65.03.06.2001                                                                          1 Pembeliangan
65.03.06.2002                                                                          2 Apas
65.03.06.2003                                                                          3 Kunyit
65.03.06.2004                                                                          4 Tetaban
65.03.06.2005                                                                          5 Kekayap
65.03.06.2006                                                                          6 Bebanas
65.03.06.2007                                                                          7 Lulu
65.03.06.2008                                                                          8 Sujau
65.03.06.2009                                                                          9 Melasu Baru
65.03.06.2010                                                                         10 Harapan                                   Pemekaran Desa, Perda No. 2/2011
65.03.07.2001                                                                          1 Long Pasia
65.03.07.2002                                                                          2 Liang Lunuk
65.03.07.2003                                                                          3 Pa' Ibang
65.03.07.2004                                                                          4 Pa' Amai
65.03.07.2005                                                                          5 Pa' Kaber
65.03.07.2006                                                                          6 Pa' Tera
65.03.07.2007                                                                          7 Pa' Sing
65.03.07.2009                                                                          8 Pa' Dalan
65.03.07.2010                                                                          9 Long Birar
65.03.07.2011                                                                         10 Pa' Upan
65.03.07.2016                                                                         11 Long Budung
65.03.07.2018                                                                         12 Long Pupung
65.03.07.2020                                                                                  13 Pa' Urang
65.03.08.2001                                                                                   1 Liang Bunyu                                Semula wil. Kec. Sebatik
65.03.08.2002                                                                                   2 Binalawan                                  Semula wil. Kec. Sebatik
65.03.08.2003                                                                                   3 Setabu                                     Semula wil. Kec. Sebatik
65.03.08.2004                                                                                   4 Bambangan                                  Pemekaran sebagian Desa Liang Buntu Perda No. 4/2010
65.03.09.1001                                                         1 Selisun                                                              Semula wil Kec. Nunukan
65.03.09.1002                                                         2 Nunukan Selatan                                                      Semula wil. Kec. Nunukan
65.03.09.1003                                                         3 Mansapa                                                              Semula wil. Kec. Nunukan
65.03.09.1004                                                         4 Tanjung Harapan                                                      Semula wil. Kec. Nunukan
65.03.10.2001                                                                                   1 Sungai Nyamuk                              Semula wil Kec. Sebatik, Perda No. 25/2011
65.03.10.2002                                                                                   2 Tanjung Harapan                            Pemekaran sebagian Desa Sungai Nyamuk Perda No. 3/2010,
65.03.10.2003                                                                                   3 Bukit Aru Indah                            Pemekaran sebagian Desa Tanjung Aru Perda No. 3/2010, Semula
65.03.10.2004                                                                                   4 Tanjung Aru                                Semula wil Kec. Sebatik, Perda No. 25/2011
65.03.11.2001                                                                                   1 Sungai Pancang                             Semula wil Kec. Sebatik, Perda No. 25/2011
65.03.11.2002                                                                                   2 Lapri                                      Pemekaran sebagian Desa Pancang Perda No. 3/2010, Semula wil
65.03.11.2003                                                                                   3 Seberang                                   Pemekaran sebagian Desa Pancang Perda No. 3/2010, Semula wil
65.03.12.2001                                                                                   1 Sungai Limau                               Pemekaran sebagian Desa Aji Kuning Perda No. 4/2010, Semula
65.03.12.2002                                                                                   2 Maspul                                     Pemekaran sebagian Desa Aji Kuning Perda No. 4/2010, Semula
65.03.12.2003                                                                                   3 Aji Kuning                                 Semula wil Kec. Sebatik, Perda No. 25/2011
65.03.12.2004                                                                                   4 Bukit Harapan                              Pemekaran sebagian Desa Pancang Perda No. 3/2010, Semula wil
65.03.13.2001                                                                                   1 Srinanti                                   Perda No. 2/2006, Semula wil Kec. Nunukan, Perda No. 26/2011
65.03.13.2002                                                                         2 Tabur Lestari                               Perda No. 2/2006, Semula wil Kec. Nunukan, Perda No. 26/2011
65.03.13.2003                                                                         3 Samaenre Semaja                             Pemekaran sebagian Kel. Nunukan Utara Perda No. 2/2010,
65.03.13.2004                                                                         4 Sekaduyan Taka                              Pemekaran sebagian Kel. Nunukan Utara Perda No. 2/2010,
65.03.14.2001                                                                         1 Sanur                                       Semula wil Kec. Sebuku, Perda No. 27/2011
65.03.14.2002                                                                         2 Makmur                                      Semula wil Kec. Sebuku, Perda No. 27/2011
