34.03.12.2002                                                                        2 Kemejing
34.03.12.2003                                                                        3 Bulurejo
34.03.12.2004                                                                        4 Sumberejo
34.03.12.2005                                                                        5 Bendung
34.03.12.2006                                                                        6 Candirejo
34.03.12.2007                                                                        7 Rejosari
34.03.12.2008                                                                        8 Karangsari
34.03.12.2009                                                                        9 Pundungsari
34.03.12.2010                                                                       10 Semin
34.03.13.2001                                                                        1 Tancep
34.03.13.2002                                                                        2 Sambirejo
34.03.13.2003                                                                        3 Jurangjero
34.03.13.2004                                                                        4 Kampung
34.03.13.2005                                                                        5 Beji
34.03.13.2006                                                                        6 Watusigar
34.03.14.2001                                                                        1 Hargomulyo
34.03.14.2002                                                                        2 Mertelu
34.03.14.2003                                                                        3 Watugajah
34.03.14.2004                                                                        4 Sampang
34.03.14.2005                                                                        5 Serut
34.03.14.2006                                                                        6 Ngalang
34.03.14.2007                                                                        7 Tegalrejo
34.03.15.2001                                                                        1 Krambilsawit
34.03.15.2002                                                                        2 Ngloro
34.03.15.2003                                                                        3 Jetis
34.03.15.2004                                                                              4 Kepek
34.03.15.2005                                                                              5 Kanigoro
34.03.15.2006                                                                              6 Monggol
34.03.15.2007                                                                              7 Planjan
34.03.16.2001                                                                              1 Balong
34.03.16.2002                                                                              2 Jepitu
34.03.16.2003                                                                              3 Karangawen
34.03.16.2004                                                                              4 Nglindur
34.03.16.2005                                                                              5 Jerukwudel
34.03.16.2006                                                                              6 Tileng
34.03.16.2007                                                                              7 Pucung
34.03.16.2008                                                                              8 Songbanyu
34.03.17.2001                                                                              1 Hargosari
34.03.17.2002                                                                              2 Kemiri
34.03.17.2003                                                                              3 Kemadang
34.03.17.2004                                                                              4 Banjarejo
34.03.17.2005                                                                              5 Ngestirejo
34.03.18.2001                                                                              1 Giripurwo
34.03.18.2002                                                                              2 Giricahyo
34.03.18.2003                                                                              3 Girijati
34.03.18.2004                                                                              4 Giriasih
34.03.18.2005                                                                              5 Giritirto
34.04.01.2001                                                                              1 Balecatur
34.04.01.2002                                                                              2 Ambarketawang
34.04.01.2003                                                                              3 Banyuraden
34.04.01.2004                                                                              4 Nogotirto
34.04.01.2005                                                                              5 Trihanggo
34.04.02.2001                                                                      1 Sidorejo
34.04.02.2002                                                                      2 Sidoluhur
34.04.02.2003                                                                      3 Sidomulyo
34.04.02.2004                                                                      4 Sidoagung
34.04.02.2005                                                                      5 Sidokarto
34.04.02.2006                                                                      6 Sidoarum
34.04.02.2007                                                                      7 Sidomoyo
34.04.03.2001                                                                      1 Sumberrahayu                            korekasi nama Srt Sekda Kab Sleman No 140/00599 tgl 13 maret
34.04.03.2002                                                                      2 Sumbersari
34.04.03.2003                                                                      3 Sumberagung
34.04.03.2004                                                                      4 Sumberarum
34.04.04.2001                                                                      1 Sendangarum
34.04.04.2002                                                                      2 Sendangmulyo
34.04.04.2003                                                                      3 Sendangagung
34.04.04.2004                                                                      4 Sendangsari
34.04.04.2005                                                                      5 Sendangrejo
34.04.05.2001                                                                      1 Margoluwih
34.04.05.2002                                                                      2 Margodadi
34.04.05.2003                                                                      3 Margokaton                              Koreksi nama desa Srt. No. 14/01950 tgl 28 Sept 2016
34.04.05.2004                                                                      4 Margomulyo                              Koreksi nama desa Srt. No. 14/01950 tgl 28 Sept 2016
34.04.05.2005                                                                      5 Margoagung
34.04.06.2001                                                                      1 Sinduadi
34.04.06.2002                                                                      2 Sendangadi
34.04.06.2003                                                                      3 Tlogoadi
34.04.06.2004                                                                      4 Tirtoadi
34.04.06.2005                                                                      5 Sumberadi
34.04.07.2001                                                                      1 Caturtunggal
34.04.07.2002                                                                      2 Maguwoharjo
34.04.07.2003                                                                       3 Condongcatur
34.04.08.2001                                                                       1 Sendangtirto
34.04.08.2002                                                                       2 Tegaltirto
34.04.08.2003                                                                       3 Kalitirto
34.04.08.2004                                                                       4 Jogotirto
34.04.09.2001                                                                       1 Sumberharjo
34.04.09.2002                                                                       2 Wukirharjo
34.04.09.2003                                                                       3 Gayamharjo
34.04.09.2004                                                                       4 Sambirejo
34.04.09.2005                                                                       5 Madurejo
34.04.09.2006                                                                       6 Bokoharjo
34.04.10.2001                                                                       1 Purwomartani
34.04.10.2002                                                                       2 Tirtomartani
34.04.10.2003                                                                       3 Tamanmartani
34.04.10.2004                                                                       4 Selomartani
34.04.11.2001                                                                       1 Sindumartani
34.04.11.2002                                                                       2 Bimomartani
34.04.11.2003                                                                       3 Widodomartani
34.04.11.2004                                                                       4 Wedomartani
34.04.11.2005                                                                       5 Umbulmartani
34.04.12.2001                                                                       1 Sariharjo
34.04.12.2002                                                                       2 Minomartani
34.04.12.2003                                                                       3 Sinduharjo
34.04.12.2004                                                                       4 Sukoharjo
34.04.12.2005                                                                       5 Sardonoharjo
34.04.12.2006                                                                       6 Donoharjo
34.04.13.2001                                                                       1 Caturharjo
34.04.13.2002                                                                       2 Triharjo
34.04.13.2003                                                                                     3 Tridadi
34.04.13.2004                                                                                     4 Pandowoharjo
34.04.13.2005                                                                                     5 Trimulyo
34.04.14.2001                                                                                     1 Banyurejo
34.04.14.2002                                                                                     2 Tambakrejo
34.04.14.2003                                                                                     3 Sumberrejo
34.04.14.2004                                                                                     4 Pondokrejo
34.04.14.2005                                                                                     5 Mororejo
34.04.14.2006                                                                                     6 Margorejo
34.04.14.2007                                                                                     7 Lumbungrejo
34.04.14.2008                                                                                     8 Merdikorejo
34.04.15.2001                                                                                     1 Bangunkerto
