61.01.19.2001                                                                                       1 Gelik                                         Semula wil. Kec. Selakau
61.01.19.2002                                                                                       2 Seranggam                                     Semula wil. Kec. Selakau
61.01.19.2003                                                                                       3 Selakau Tua                                   Semula wil. Kec. Selakau
61.01.19.2004                                                                                       4 Buduk Sempadang                               Semula wil. Kec. Selakau
61.02.01.2001                                                                                       1 Sengkubang
61.02.01.2002                                                                                       2 Penibung
61.02.01.2003                                                                                       3 Pasir
61.02.01.1006                                                              1 Tanjung
61.02.01.1007                                                              2 Tengah
61.02.01.1009                                                     3 Terusan
61.02.01.2013                                                                          4 Kuala Secapah
61.02.01.2015                                                                          5 Malikian                                 Perda No. 12/2005.
61.02.06.2001                                                                      1 Toho Ilir                                    Koreksi nama 'Toho Hilir' Srt Ditjen BPD No 140/5118/BPD tgl 18
61.02.06.2002                                                                      2 Pak Laheng
61.02.06.2003                                                                      3 Kecurit
61.02.06.2004                                                                      4 Terap
61.02.06.2005                                                                      5 Sepang
61.02.06.2006                                                                      6 Pak Utan
61.02.06.2007                                                                                7 Benuang
61.02.06.2008                                                                                8 Sambora
61.02.07.2001                                                                                1 Sungai Rasau
61.02.07.2002                                                                                2 Sungai Bakau Besar                            Koreksi nama 'Sungai Rasau Besar Darat' Srt Ditjen BPD No
61.02.07.2003                                                                                3 Sungai Purun Kecil
61.02.07.2004                                                                                4 Sungai Bakau Besar
61.02.07.2005                                                                                5 Sungai Batang
61.02.07.2006                                                                                6 Peniraman
61.02.07.2007                                                                                7 Nusapati
61.02.07.2008                                                                                8 Galang
61.02.07.1011                                                       1 Sungai Pinyuh
61.02.08.2001                                                                                1 Wajok Hilir
61.02.08.2002                                                                                2 Sungai Nipah
61.02.08.2006                                                                                3 Peniti Luar
61.02.08.2009                                                                                4 Wajok Hulu
61.02.08.2010                                                                 5 Jungkat
61.02.12.2001                                                                           1 Sungai Duri I
61.02.12.2002                                                                           2 Sungai Duri II
61.02.12.2003                                                                           3 Bukit Batu
61.02.12.2004                                                                           4 Sungai Bundung Laut
61.02.12.2005                                                                           5 Sungai Kunyit Laut
61.02.12.2006                                                                           6 Sungai Kunyit Dalam
61.02.12.2007                                                                           7 Sungai Kunyit Hulu
61.02.12.2008                                                                           8 Sungai Limau
61.02.12.2009                                                                           9 Sungai Dungun
61.02.12.2010                                                                          10 Mendalok
61.02.12.2011                                                                          11 Semparong Parit
61.02.12.2012                                                                          12 Semudun
61.02.15.2001                                                                                  1 Peniti Besar                                  Semula wil. Kec. Siantan
61.02.15.2002                                                                                  2 Sungai Purun Besar                            Semula wil. Kec. Siantan
61.02.15.2003                                                                                  3 Parit Bugis                                   Semula wil. Kec. Siantan
61.02.15.2004                                                                                  4 Peniti Dalam I                                Semula wil. Kec. Siantan
61.02.15.2005                                                                                  5 Peniti Dalam II                               Semula wil. Kec. Siantan
61.02.15.2006                                                                                  6 Sungai Burung                                 Semula wil. Kec. Siantan
61.02.16.1001                                                        1 Anjungan Melancar                                                       Semula wil. Kec. Sungai Pinyuh
61.02.16.2002                                                                                  1 Anjungan Dalam                                Semula wil. Kec. Sungai Pinyuh
61.02.16.2003                                                                                  2 Kepayang                                      Semula wil. Kec. Sungai Pinyuh
61.02.16.2004                                                                                  3 Pak Bulu                                      Semula wil. Kec. Sungai Pinyuh
61.02.16.2005                                                                                  4 Dema                                          Semula wil. Kec. Toho
61.02.17.2001                                                                                  1 Sekabuk                                       Semula wil. Kec. Toho
61.02.17.2002                                                                                  2 Pentek                                        Semula wil. Kec. Toho
61.02.17.2003                                                                                  3 Bum-bun                                       Semula wil. Kec. Toho
61.02.17.2004                                                                                  4 Amawang                                       Semula wil. Kec. Toho
61.02.17.2005                                                                                  5 Ansiap                                        Semula wil. Kec. Toho
61.02.17.2006                                                                                  6 Suak Barangan                                 Semula wil. Kec. Toho
61.02.18.1001                                                        1 Pulau Pedalaman                                                         Semula wil. Kec. Mempawah Hilir
61.02.18.1002                                                        2 Pasir Wan Salim                                                         Semula wil. Kec. Mempawah Hilir
61.02.18.2003                                                                                  1 Antibar                                       Semula wil. Kec. Mempawah Hilir
61.02.18.2004                                                                                  2 Sejegi                                        Semula wil. Kec. Mempawah Hilir
61.02.18.2005                                                                                        3 Pasir Palembang                                  Semula wil. Kec. Mempawah Hilir
61.02.18.2006                                                                                        4 Pasir Panjang                                    Semula wil. Kec. Mempawah Hilir
61.02.18.2007                                                                                        5 Sungai Bakau Kecil                               Semula wil. Kec. Mempawah Hilir
61.02.18.2008                                                                                        6 Parit Banjar                                     Semula wil. Kec. Mempawah Hilir
61.03.01.1001                                                            1 Tanjung Kapuas
61.03.01.1002                                                            2 Tanjung Sekayam
61.03.01.1003                                                            3 Sungai Sengkuang
61.03.01.1004                                                            4 Ilir Kota
61.03.01.1005                                                            5 Beringin
61.03.01.1006                                                            6 Bunut
61.03.01.2007                                                                                        1 Penyeladi
61.03.01.2008                                                                                        2 Nanga Biang
61.03.01.2009                                                                                        3 Rambin
61.03.01.2010                                                                                        4 Entakai
61.03.01.2011                                                                                        5 Pana
61.03.01.2012                                                                                        6 Mengkiang
61.03.01.2013                                                                                        7 Kambong
61.03.01.2014                                                                                        8 Sungai Mawang
61.03.01.2015                                                                                        9 Lape
61.03.01.2016                                                                                       10 Penyelimau
61.03.01.2017                                                                                       11 Sungai Alai
61.03.01.2018                                                                                       12 Semerangkai
61.03.01.2019                                                                                       13 Sungai Batu
61.03.01.2020                                                                                       14 Sungai Muntik
61.03.01.2021                                                                                       15 Lintang Kapuas
61.03.01.2022                                                                                       16 Lintang Pelaman
61.03.01.2023                                                                                       17 Belangin
61.03.01.2024                                                                                       18 Penyelimau Jaya
61.03.01.2025                                                                                       19 Tapang Dulang                                    Perda No. 4/2009
61.03.01.2026                                                                                       20 Botuh Lintang                                    Pemekaran sebagian Desa Nanga Biang Perda No. 2/2011
61.03.02.2001                                                                       1 Kedukul
61.03.02.2002                                                                       2 Semuntai
61.03.02.2003                                                                       3 Engkode
61.03.02.2004                                                                       4 Sungai Mawang
61.03.02.2005                                                                       5 Inggis
61.03.02.2006                                                                       6 Layak Omang
61.03.02.2007                                                                       7 Semanggis Raya
61.03.02.2008                                                                       8 Tri Mulya
61.03.02.2009                                                                       9 Serambai Jaya                              Pemekaran sebagian Desa Layak Omang Perda No. 4/2011
61.03.03.2001                                                                       1 Noyan
61.03.03.2002                                                                       2 Empoto
61.03.03.2003                                                                       3 Semongan
61.03.03.2004                                                                       4 Sungai Dangin
61.03.03.2005                                                                       5 Idas
61.03.04.2001                                                                       1 Balai Sebut
61.03.04.2002                                                                       2 Jangkang Benua
61.03.04.2003                                                                       3 Tanggung
61.03.04.2004                                                                       4 Empiyang
61.03.04.2005                                                                       5 Pisang
61.03.04.2006                                                                       6 Ketori
61.03.04.2007                                                                       7 Semombat
61.03.04.2008                                                                       8 Terati
61.03.04.2009                                                                       9 Sape
61.03.04.2010                                                                      10 Selampung
61.03.04.2011                                                                      11 Semirau
