32.01.18.2004                                                                        4 Gobang
32.01.18.2005                                                                        5 Cibodas
32.01.18.2006                                                                        6 Rabak
32.01.18.2007                                                                        7 Kampungsawah
32.01.18.2008                                                                        8 Cipinang
32.01.18.2009                                                                        9 Sukasari
32.01.18.2010                                                                       10 Tamansari
32.01.18.2011                                                                       11 Kertajaya
32.01.18.2012                                                                       12 Sukamulya
32.01.18.2013                                                                       13 Mekarsari
32.01.18.2014                                                                       14 Mekarjaya                                   Pemekaran Desa Cidokom Perda No. 5/2012
32.01.19.2001                                                                        1 Curug
32.01.19.2002                                                                        2 Pangradin
32.01.19.2003                                                                           3 Kalongsawah
32.01.19.2004                                                                           4 Sipak
32.01.19.2005                                                                           5 Jasinga
32.01.19.2006                                                                           6 Koleang
32.01.19.2007                                                                           7 Cikopomayak
32.01.19.2008                                                                           8 Setu
32.01.19.2009                                                                           9 Barengkok
32.01.19.2010                                                                          10 Bagoang
32.01.19.2011                                                                          11 Pangaur
32.01.19.2012                                                                          12 Pamagersari
32.01.19.2013                                                                          13 Jugala Jaya
32.01.19.2014                                                                          14 Tegalwangi
32.01.19.2015                                                                          15 Neglasari
32.01.19.2016                                                                          16 Wirajaya                                   Pemekaran dari sebagian wil. Desa Curug Perda No. 12/2006
32.01.20.2001                                                                           1 Jagabaya
32.01.20.2002                                                                           2 Gorowong
32.01.20.2003                                                                           3 Dago
32.01.20.2004                                                                           4 Pingku
32.01.20.2005                                                                           5 Cikuda
32.01.20.2006                                                                           6 Parungpanjang                              Koreksi penulisan Perda No. 3/2003
32.01.20.2007                                                                           7 Lumpang
32.01.20.2008                                                                           8 Cibunar
32.01.20.2009                                                                           9 Jagabita
32.01.20.2010                                                                          10 Gintungcilejet
32.01.20.2011                                                                          11 Kabasiran
32.01.21.2001                                                                           1 Malasari
32.01.21.2002                                                                           2 Curugbitung
32.01.21.2003                                                                           3 Cisarua
32.01.21.2004                                                                           4 Bantarkaret
32.01.21.2005                                                                           5 Hambaro
32.01.21.2006                                                                           6 Kalongliud
32.01.21.2007                                                                           7 Nanggung
32.01.21.2008                                                                        8 Parakanmuncang
32.01.21.2009                                                                        9 Pangkaljaya
32.01.21.2010                                                                       10 Sukaluyu
32.01.21.2011                                                                       11 Batu Tulis                                 Pemekaran dari sebagian wil. Desa Parakan Muncang Perda No.
32.01.22.2001                                                                        1 Sukamaju
32.01.22.2002                                                                        2 Cigudeg
32.01.22.2003                                                                        3 Bunar
32.01.22.2004                                                                        4 Banyuresmi
32.01.22.2005                                                                        5 Cintamanik
32.01.22.2006                                                                        6 Argapura
32.01.22.2007                                                                        7 Bangunjaya
32.01.22.2008                                                                        8 Rengasjajar
32.01.22.2009                                                                        9 Batujajar
32.01.22.2010                                                                       10 Wargajaya
32.01.22.2011                                                                       11 Sukaraksa
32.01.22.2012                                                                       12 Banyuwangi
32.01.22.2013                                                                       13 Banyuasih
32.01.22.2014                                                                       14 Mekarjaya
32.01.22.2015                                                                       15 Tegallega                                  Koreksi penulisan Perda No. 3/2003
32.01.23.2001                                                                        1 Tapos
32.01.23.2002                                                                        2 Ciomas
32.01.23.2003                                                                        3 Batok
32.01.23.2004                                                                        4 Babakan
32.01.23.2005                                                                        5 Tenjo
32.01.23.2006                                                                        6 Cilaku
32.01.23.2007                                                                        7 Singabraja
32.01.23.2008                                                                        8 Singabangsa
32.01.23.2009                                                                        9 Bojong
32.01.24.2001                                                                        1 Cileungsi
32.01.24.2002                                                                        2 Citapen
32.01.24.2003                                                                        3 Cibedug
32.01.24.2004                                                                                4 Jambuluwuk
32.01.24.2005                                                                                5 Banjarsari                                  Koreksi penulisan Perda No. 3/2003, Kep. Bupati No.
32.01.24.2006                                                                                6 Teluk Pinang                                Koreksi penulisan Perda No. 3/2003
32.01.24.2007                                                                                7 Banjar Waru
32.01.24.2008                                                                                8 Bendungan
32.01.24.2009                                                                                9 Pandan Sari
32.01.24.2010                                                                               10 Bojong Murni
32.01.24.2011                                                                               11 Banjar Wangi
32.01.24.2012                                                                               12 Ciawi
32.01.24.2013                                                                               13 Bitungsari
32.01.25.2001                                                                                1 Batulayang
32.01.25.2002                                                                                2 Jogjogan
32.01.25.2003                                                                                3 Cibeureum
32.01.25.2004                                                                                4 Cilember
32.01.25.2005                                                                                5 Citeko
32.01.25.2006                                                                                6 Tugu Selatan
32.01.25.2007                                                                                7 Leuwimalang
32.01.25.2008                                                                                8 Kopo
32.01.25.2009                                                                                9 Tugu Utara
32.01.25.1010                                                      1 Cisarua
32.01.26.2001                                                                                1 Sukamaju
32.01.26.2002                                                                                2 Kuta
32.01.26.2003                                                                                3 Gadog
32.01.26.2004                                                                                4 Sukakarya
32.01.26.2005                                                                                5 Megamendung
32.01.26.2006                                                                                6 Cipayung Datar
32.01.26.2007                                                                                7 Sukamanah
32.01.26.2008                                                                                8 Sukagalih
32.01.26.2009                                                                                9 Cipayung Girang
32.01.26.2010                                                                               10 Sukamahi
